time,latitude,longitude,altitude
1718963085.7168963,51.9413592,-2.3980458,105725.0
1718963085.8378716,51.9413604,-2.3980459,105735.0
1718963085.958802,51.9413619,-2.3980455,105752.0
1718963086.0996077,51.941363599999995,-2.3980452999999997,105761.0
1718963086.2002015,51.9413652,-2.3980451,105751.0
1718963086.3415287,51.941366599999995,-2.3980448,105758.0
1718963086.4624162,51.9413677,-2.3980446,105766.0
1718963086.5844913,51.941368999999995,-2.3980447,105754.0
1718963086.7068322,51.941370299999996,-2.3980444,105756.0
1718963086.8274643,51.941372099999995,-2.3980441,105758.0
1718963086.9482722,51.9413738,-2.3980438,105763.0
1718963087.0890617,51.9413754,-2.3980436,105778.0
1718963087.2097652,51.941376899999995,-2.3980433,105770.0
1718963087.330453,51.941378199999996,-2.3980430999999998,105775.0
1718963087.4521904,51.9413799,-2.3980428,105788.0
1718963087.5937319,51.9413814,-2.3980422999999997,105783.0
1718963087.7145183,51.9413832,-2.3980422999999997,105787.0
1718963087.83523,51.9413845,-2.3980421,105800.0
1718963087.9559388,51.9413858,-2.3980418,105809.0
1718963088.0967722,51.9413872,-2.3980414999999997,105802.0
1718963088.2176294,51.941388499999995,-2.3980414999999997,105803.0
1718963088.3383276,51.94139,-2.3980411,105824.0
1718963088.4591336,51.941391599999996,-2.3980411999999998,105817.0
1718963088.5797634,51.9413932,-2.3980406999999997,105833.0
1718963088.7004824,51.9413947,-2.398041,105818.0
1718963088.8422897,51.941395799999995,-2.3980403999999997,105832.0
1718963088.963185,51.9413972,-2.3980403,105790.0
1718963089.1042905,51.9413991,-2.3980401,105812.0
1718963089.2048979,51.9414008,-2.3980395999999997,105823.0
1718963089.3457026,51.9414022,-2.3980395,105839.0
1718963089.4664633,51.941403699999995,-2.3980392999999998,105802.0
1718963089.5671613,51.9414053,-2.3980391,105816.0
1718963089.7099679,51.941407,-2.3980387,105799.0
1718963089.8308146,51.9414087,-2.3980387,105820.0
1718963089.951574,51.9414102,-2.3980381,105809.0
