time,x,y,z,heading
1718963231.8863182,-30.787295869883348,-21.013999191293696,0.0,3.0682271716590543
1718963231.9265325,-30.733719179583932,-21.011073602123577,0.0,3.1829093924439826
1718963231.9668345,-30.68238415638789,-21.00825255996616,0.0,3.1079769437520834
1718963232.0070636,-30.632664310522284,-21.00562492031981,0.0,2.942433258747169
1718963232.0473108,-30.581968281038677,-21.003013426664115,0.0,2.955284081923442
1718963232.087564,-30.528570699945877,-21.000233131392612,0.0,3.0058646784937233
1718963232.12795,-30.473738057449253,-20.99737271455521,0.0,2.9665408620396447
1718963232.1681015,-30.41893486422148,-20.99456551854968,0.0,2.8980820877591995
1718963232.208331,-30.36830226292752,-20.992048442881263,0.0,2.7938705694037167
1718963232.2284496,-30.320033852967384,-20.989654064777756,0.0,2.8858441617927477
1718963232.2686813,-30.265471939280204,-20.98693453700446,0.0,2.8210165984710462
1718963232.3089383,-30.209417479065483,-20.98423726936836,0.0,2.688730193505956
1718963232.3491933,-30.153111005124043,-20.981616181840206,0.0,2.6417019398947335
1718963232.38943,-30.102484008904685,-20.979326606452783,0.0,2.537103523986669
1718963232.4296832,-30.05181701189194,-20.977127933540324,0.0,2.4324309343687815
1718963232.4699442,-30.00291319739026,-20.975016107883178,0.0,2.512932529969341
1718963232.5102062,-29.94974199293507,-20.97264420544914,0.0,2.5954701604139285
1718963232.5504863,-29.894948618873386,-20.970144839843172,0.0,2.627931661754823
1718963232.5907416,-29.84280407986513,-20.967733400743352,0.0,2.6676148000336277
1718963232.6309197,-29.794156015510076,-20.965394003848843,0.0,2.838643018482402
1718963232.6711626,-29.745109240802233,-20.96293441905008,0.0,2.9030545976134285
1718963232.7114224,-29.692696190721392,-20.960235808090626,0.0,2.9917599971790207
1718963232.7516916,-29.63960712438215,-20.957429116595332,0.0,3.060785923277904
1718963232.7919295,-29.58771949131327,-20.95464977793334,0.0,3.071401191566152
1718963232.8322015,-29.536036359413743,-20.951806939652265,0.0,3.225379061266557
1718963232.8724442,-29.48404557819664,-20.948835174596297,0.0,3.317493306734752
1718963232.912676,-29.432078968523864,-20.94578097946214,0.0,3.4095733055115107
1718963232.9529042,-29.37970493755623,-20.942655652540292,0.0,3.4203744571678247
1718963232.9931414,-29.32627711722512,-20.93947811747423,0.0,3.386758925362373
1718963233.0333948,-29.27316206467511,-20.936338584841668,0.0,3.3786648085566346
1718963233.073631,-29.220994762415934,-20.93327384791347,0.0,3.3456581191358605
1718963233.1138642,-29.16963464621949,-20.930302760587708,0.0,3.275871195987585
1718963233.154051,-29.118241316421074,-20.927358189903714,0.0,3.2824594936578793
1718963233.1942809,-29.066797983090837,-20.924393765860938,0.0,3.3135888691853186
1718963233.2345114,-29.014588603121634,-20.9214041972887,0.0,3.240896893339719
1718963233.2747216,-28.964121674638115,-20.91855010290157,0.0,3.232790457497633
1718963233.3149662,-28.914021476091516,-20.915686096586693,0.0,3.310779406179111
1718963233.356737,-28.863984585646207,-20.91275741346711,0.0,3.3886759354352383
1718963233.3969653,-28.812368660106056,-20.909685310064447,0.0,3.4236073718377
1718963233.4373553,-28.75928331374546,-20.90651630173676,0.0,3.4089966794348046
