time,x,y,theta
1742565078.516914,100.825725,-0.940003,-3.131713
1742565078.619386,100.717576,-0.964792,-3.137375
1742565078.714506,100.701151,-1.004399,-3.131443
1742565078.892652,100.643006,-0.980655,-3.131974
1742565078.915828,100.436054,-0.981152,-3.129309
1742565079.007419,100.359167,-0.978162,-3.128270
1742565079.117867,100.283803,-0.980124,-3.126591
1742565079.217246,100.216814,-0.984679,-3.130888
1742565079.325976,100.078614,-1.025940,-3.134318
1742565079.463550,100.112793,-1.039990,3.140535
1742565079.514844,99.946759,-1.000216,3.141063
1742565079.630411,99.776782,-1.044576,3.134216
1742565079.712116,99.751230,-1.055980,3.138121
1742565079.818428,99.688231,-1.027238,3.140563
1742565079.913913,99.588349,-1.041231,-3.141238
1742565080.074600,99.605404,-1.054961,3.138909
1742565080.118240,99.421638,-1.076062,3.138486
1742565080.232624,99.294166,-1.060817,3.135146
1742565080.322692,99.256408,-1.091739,3.130537
1742565080.443691,99.164498,-1.073706,3.136467
1742565080.520768,99.091641,-1.057864,3.134401
1742565080.678884,99.056062,-1.087195,3.116913
1742565080.817703,98.768283,-1.095545,3.110853
1742565080.918339,98.675069,-1.096058,3.110860
1742565081.031574,98.606131,-1.074821,3.113178
1742565081.116470,98.509501,-1.074486,3.111007
1742565081.298495,98.499216,-1.035457,3.127558
1742565081.317354,98.337656,-1.024448,3.127499
1742565081.412187,98.171506,-1.048378,3.117658
1742565081.557581,98.053485,-1.021367,3.126185
1742565081.756880,98.006059,-1.041302,3.116327
1742565081.759243,97.717529,-1.057680,3.111678
1742565081.818363,97.590428,-1.040870,3.106088
1742565081.934299,97.478038,-1.052452,3.108286
1742565082.022226,97.460841,-1.057625,3.110728
1742565082.243534,97.472970,-1.028756,3.117261
1742565082.246459,97.275398,-1.082512,3.109695
1742565082.311099,97.170355,-1.047095,3.111436
1742565082.417140,97.031851,-1.036932,3.108211
1742565082.528346,96.917485,-1.022904,3.106019
1742565082.667257,96.911840,-1.024325,3.110312
1742565082.704634,96.677322,-1.062038,3.109574
1742565082.818529,96.547028,-1.034882,3.111270
1742565082.947306,96.462560,-1.054451,3.115608
1742565083.016994,96.352904,-1.030369,3.105650
1742565083.203188,96.366954,-1.013125,3.102449
1742565083.226295,96.173551,-1.018608,3.103713
1742565083.315326,96.067523,-1.017580,3.101971
1742565083.424913,95.961167,-1.033483,3.098270
1742565083.529301,95.851896,-1.023006,3.100932
1742565083.667721,95.870242,-1.010206,3.109439
1742565083.709055,95.607111,-1.003350,3.107556
1742565083.823531,95.506781,-1.028760,3.104241
1742565083.921424,95.397161,-1.029155,3.101521
1742565084.015813,95.319206,-1.051264,3.098327
1742565084.173474,95.316487,-0.997425,3.109053
1742565084.217856,95.080517,-0.941442,3.117108
1742565084.322683,94.895369,-0.970380,3.112095
1742565084.429986,94.813350,-0.997204,3.119100
1742565084.581243,94.796017,-1.048972,3.118662
1742565084.617189,94.613339,-1.049389,3.135346
1742565084.703474,94.576432,-1.004383,3.137056
1742565084.822522,94.501752,-1.027974,3.138601
1742565084.910050,94.424327,-1.025680,-3.137579
1742565085.026542,94.330599,-1.026250,-3.135783
1742565085.118416,94.248164,-1.023414,-3.131832
1742565085.432556,94.298737,-1.059122,3.135287
1742565085.436656,94.038749,-1.052734,3.133838
1742565085.439950,93.917686,-1.051335,3.132526
1742565085.534215,93.819966,-1.067980,3.123618
1742565085.615783,93.726201,-1.075025,3.129395
1742565085.858442,93.726662,-1.042852,-3.141274
1742565085.861655,93.469560,-1.062621,3.137967
1742565085.929576,93.360099,-1.007838,-3.140681
1742565086.020554,93.238333,-1.055411,3.128505
1742565086.115443,93.213146,-1.049700,3.139913
1742565086.214675,93.084625,-1.057247,3.133285
1742565086.382227,93.128325,-1.052153,3.135774
