time,x,y,theta
1746527975.152204,112.216789,8.658301,0.037255
1746527975.252134,112.337402,8.622204,0.053132
1746527975.350345,112.432541,8.709345,0.041919
1746527975.446927,112.535538,8.705566,0.038504
1746527975.547697,112.602226,8.665961,0.043102
1746527975.647362,112.652756,8.561201,0.062803
1746527975.750508,112.766457,8.611406,0.057981
1746527975.853228,112.835480,8.650022,0.053377
1746527975.952616,112.916336,8.682514,0.053383
1746527976.050723,112.962463,8.629612,0.082613
1746527976.159940,113.041183,8.612794,0.097963
1746527976.271240,113.117744,8.729811,0.084007
1746527976.351469,113.222313,8.716835,0.090435
1746527976.460387,113.260040,8.760054,0.081469
1746527976.554071,113.325500,8.738352,0.087835
1746527976.652002,113.427406,8.734549,0.087548
1746527976.749837,113.513863,8.722303,0.097838
1746527976.858679,113.619423,8.661791,0.101328
1746527976.968359,113.709961,8.700334,0.096089
1746527977.049785,113.771255,8.727516,0.088693
1746527977.154415,113.825523,8.769588,0.083710
1746527977.254605,113.926033,8.828944,0.077687
1746527977.352239,113.960320,8.768772,0.083453
1746527977.511886,114.052597,8.814001,0.074958
1746527977.724044,114.106728,8.856801,0.077024
1746527977.977686,114.241753,8.752167,0.102059
1746527978.170125,114.347733,8.755666,0.097170
1746527978.319996,114.456078,8.847247,0.088780
1746527978.379401,114.568741,8.849216,0.088707
1746527978.438617,114.635368,8.837224,0.085680
1746527978.517919,114.703773,8.837221,0.087776
1746527978.583491,114.838150,8.914865,0.080946
1746527978.641629,114.898514,8.908323,0.077325
1746527978.700819,115.003197,8.960383,0.079362
1746527978.759492,115.146477,8.959976,0.078445
1746527978.815452,115.236191,8.942901,0.079717
1746527978.887769,115.402519,9.001094,0.077362
1746527978.937215,115.474487,9.030914,0.072323
1746527979.006776,115.620331,9.005286,0.078989
1746527979.066757,115.689644,8.936455,0.091000
1746527979.153011,115.739815,8.910435,0.086449
1746527979.254485,115.894745,8.984425,0.085806
1746527979.353174,115.961777,8.938617,0.090056
1746527979.450317,116.015289,8.985121,0.084560
1746527979.548489,116.157196,9.087523,0.081798
1746527979.652666,116.303452,9.015252,0.078853
1746527979.752952,116.395721,8.986229,0.068963
1746527979.852530,116.491867,9.049744,0.063087
1746527979.949901,116.645325,9.033170,0.057301
1746527980.051415,116.717026,9.048586,0.056102
1746527980.152533,116.822906,9.015683,0.060930
1746527980.250831,116.966866,9.030304,0.057830
1746527980.353490,117.003716,9.068659,0.052401
1746527980.453061,117.068367,9.064004,0.056207
1746527980.550690,117.249290,9.128845,0.049212
1746527980.650381,117.330711,9.094084,0.048467
1746527980.750864,117.479515,9.070040,0.055848
1746527980.851153,117.560516,9.048523,0.054891
1746527980.950981,117.689606,9.069036,0.065334
1746527981.050846,117.782333,9.066023,0.059139
1746527981.149618,117.891548,9.090087,0.061750
1746527981.252933,118.000099,9.119337,0.060369
1746527981.350048,118.084602,9.155808,0.051873
1746527981.450645,118.147316,9.101407,0.055154
1746527981.550184,118.230263,9.123116,0.054263
1746527981.650177,118.402725,9.202731,0.042667
1746527981.748040,118.453636,9.127320,0.053968
1746527981.849025,118.583336,9.163446,0.055030
1746527981.949244,118.715042,9.171493,0.055959
1746527982.049165,118.817566,9.127702,0.064225
1746527982.152009,118.919731,9.123161,0.064284
1746527982.249749,119.045052,9.156820,0.064045
1746527982.354478,119.096336,9.178907,0.061870
1746527982.471028,119.245720,9.183654,0.060901
1746527982.553579,119.322624,9.168839,0.065319
1746527982.649124,119.401711,9.096903,0.075418
1746527982.751505,119.483185,9.206204,0.060621
1746527982.852481,119.538818,9.244119,0.053288
1746527982.952563,119.672752,9.271416,0.053921
1746527983.051814,119.821266,9.164544,0.084813
1746527983.150908,119.834167,9.207542,0.080628
1746527983.251477,119.917969,9.205331,0.083461
1746527983.394103,120.052856,9.278205,0.089218
1746527983.466328,120.128433,9.235407,0.111114
1746527983.632081,120.231529,9.239267,0.111757
1746527983.701406,120.324387,9.260237,0.107194
1746527983.835174,120.415665,9.310042,0.102062
1746527983.897674,120.465996,9.311902,0.101300
1746527983.961335,120.557220,9.314913,0.107421
1746527984.051291,120.626915,9.268136,0.133843
1746527984.151467,120.783409,9.342279,0.121133
1746527984.250779,120.875671,9.335988,0.120081
1746527984.350902,121.000381,9.342061,0.117989
1746527984.451929,121.061218,9.404657,0.114948
1746527984.552987,121.146202,9.446985,0.109013
1746527984.652056,121.282295,9.446477,0.109162
1746527984.750608,121.368271,9.431373,0.111243
1746527984.847601,121.459511,9.444942,0.117291
1746527984.952943,121.483490,9.402253,0.123134
1746527985.047833,121.595985,9.527354,0.104302
1746527985.150299,121.715393,9.499674,0.104628
1746527985.248017,121.821579,9.554273,0.095010
1746527985.348728,121.989586,9.586228,0.100008
1746527985.452214,122.024422,9.551900,0.099116
1746527985.551175,122.099457,9.632475,0.085746
1746527985.659101,122.172195,9.579490,0.093615
1746527985.749317,122.221298,9.553472,0.090210
1746527985.849858,122.339279,9.493318,0.105757
1746527985.951319,122.430260,9.586329,0.095110
1746527986.051633,122.451805,9.601054,0.097767
1746527986.150193,122.536087,9.556924,0.101250
1746527986.249342,122.620331,9.658916,0.082658
1746527986.349027,122.764618,9.662395,0.082251
1746527986.454895,122.896271,9.645350,0.081012
1746527986.550776,122.886017,9.677075,0.084205
1746527986.651086,123.077408,9.669715,0.088319
1746527986.752393,123.210930,9.751348,0.071522
1746527986.857545,123.329483,9.749018,0.069623
1746527986.958902,123.311951,9.638186,0.077000
1746527987.051697,123.400986,9.735781,0.069827
1746527987.148809,123.470398,9.674882,0.075992
1746527987.248877,123.538811,9.735229,0.069130
1746527987.350407,123.592651,9.749169,0.069192
1746527987.450222,123.700829,9.733790,0.070880
1746527987.548924,123.854286,9.711393,0.074695
1746527987.651233,123.880898,9.711691,0.072142
1746527987.752017,123.959076,9.687003,0.073994
1746527987.850404,124.022301,9.745642,0.062873
1746527987.949320,124.166824,9.783031,0.072846
1746527988.049656,124.283775,9.767514,0.066938
1746527988.155542,124.424026,9.805450,0.072087
1746527988.249576,124.552383,9.768085,0.067665
1746527988.350373,124.617477,9.845245,0.074444
1746527988.453969,124.749184,9.825383,0.083200
1746527988.552514,124.824516,9.813482,0.073692
1746527988.648491,124.954903,9.883412,0.077380
1746527988.749502,125.036819,9.889939,0.077391
1746527988.852356,125.144485,9.875147,0.080307
1746527988.949358,125.236649,9.895287,0.083732
1746527989.052404,125.292877,9.863492,0.085554
1746527989.154270,125.371315,9.869176,0.077906
1746527989.253114,125.464478,9.912103,0.072781
1746527989.351421,125.599991,9.888128,0.081468
1746527989.448500,125.664612,9.924992,0.075002
1746527989.548585,125.755295,9.863357,0.086430
1746527989.651888,125.854225,10.026907,0.059772
1746527989.749222,125.999687,10.094982,0.055884
1746527989.915169,125.982399,9.975193,0.069067
1746527990.087078,126.017502,9.933667,0.070683
1746527990.251097,126.091782,9.990384,0.073534
1746527990.454270,126.164322,9.998200,0.066676
1746527990.677170,126.234161,9.945246,0.072472
1746527990.791326,126.299759,10.007858,0.075917
1746527990.845824,126.423874,9.987148,0.074560
1746527990.900230,126.531387,10.004966,0.081058
1746527990.961276,126.665924,9.993480,0.076988
1746527991.013485,126.753227,10.017555,0.080221
