time,x,y,theta
1732883403.923781,55.683960,3.374830,-0.012322
1732883404.123837,55.778588,3.374469,-0.008522
1732883404.223951,55.862931,3.377924,-0.013161
1732883404.423966,55.963489,3.381840,-0.007347
1732883404.523948,56.050135,3.382241,-0.007143
1732883404.824065,56.147126,3.384864,-0.001687
1732883404.924165,56.240417,3.395229,-0.015269
1732883405.024039,56.318057,3.394176,-0.012072
1732883405.223954,56.446309,3.378095,0.011218
1732883405.323779,56.528647,3.411171,-0.025613
1732883405.423952,56.617528,3.399243,0.000060
1732883405.523978,56.709858,3.395814,0.005989
1732883405.624029,56.813223,3.415243,-0.016465
1732883405.724171,56.904041,3.425894,-0.023877
1732883405.824241,56.997402,3.404791,0.008702
1732883405.924203,57.099690,3.409686,0.000312
1732883406.024054,57.202061,3.418801,-0.008558
1732883406.123913,57.296376,3.429379,-0.025874
1732883406.223792,57.393888,3.428755,-0.020957
1732883406.323727,57.491199,3.431128,-0.019146
1732883406.423716,57.596000,3.444852,-0.038619
1732883406.523568,57.709067,3.434357,-0.003628
1732883406.623537,57.799424,3.437332,-0.008025
1732883406.723636,57.905170,3.433308,0.006459
1732883406.823702,58.010410,3.433877,0.002432
1732883406.923807,58.114815,3.433969,-0.002193
1732883407.023850,58.211541,3.433196,0.003405
1732883407.123849,58.313678,3.438184,-0.008991
1732883407.223875,58.410648,3.436219,-0.005951
1732883407.323980,58.516236,3.437811,-0.000598
1732883407.423878,58.607011,3.433194,0.004399
1732883407.524027,58.725991,3.446968,-0.015651
1732883407.623925,58.806924,3.432048,0.028360
1732883407.723898,58.920651,3.447561,-0.013875
1732883407.823933,59.008750,3.438339,0.004566
1732883407.923930,59.099642,3.442567,-0.000689
1732883408.023999,59.179633,3.446071,-0.013861
1732883408.123932,59.268724,3.450300,-0.014567
1732883408.224017,59.348212,3.441543,-0.009448
1732883408.324043,59.431492,3.474483,-0.042407
1732883408.424106,59.524879,3.472211,-0.029618
1732883408.524075,59.600522,3.439732,0.018964
1732883408.624120,59.684083,3.437671,0.019716
1732883408.724032,59.766128,3.460461,-0.022837
1732883408.824045,59.862623,3.454439,-0.014741
1732883409.024046,59.959813,3.463486,-0.036548
1732883409.123971,60.045134,3.466524,-0.033425
1732883409.223993,60.130964,3.470139,-0.025549
1732883409.423818,60.238417,3.487980,-0.056731
1732883409.523846,60.316850,3.471878,-0.012980
1732883409.623854,60.391956,3.483549,-0.013282
1732883409.723905,60.494941,3.485692,-0.016042
1732883409.824003,60.587999,3.485762,-0.012095
1732883409.924059,60.667622,3.491950,-0.016846
1732883410.024075,60.767941,3.488635,-0.009006
1732883410.124132,60.845233,3.497379,-0.016341
1732883410.224196,60.942843,3.493877,-0.008739
1732883410.423971,61.030741,3.497341,-0.009026
1732883410.523777,61.133556,3.492895,0.004723
1732883410.623845,61.200322,3.500468,0.005881
1732883410.723915,61.298089,3.504001,0.013472
1732883410.824070,61.385115,3.504765,0.014881
1732883410.924139,61.473850,3.505971,0.012566
1732883411.024068,61.545632,3.512525,0.013128
1732883411.124078,61.633099,3.513018,0.015551
1732883411.223986,61.721187,3.514106,0.017561
1732883411.323955,61.803313,3.516200,0.019758
1732883411.423941,61.884234,3.520655,0.015005
1732883411.523992,61.966390,3.523709,0.015592
1732883411.623970,62.046755,3.520625,0.026226
1732883411.723893,62.129160,3.522952,0.021475
1732883411.823893,62.198139,3.518399,0.039800
1732883411.924030,62.284899,3.518930,0.037691
1732883412.024149,62.363865,3.517327,0.036005
1732883412.124165,62.441611,3.518079,0.034940
1732883412.224111,62.530086,3.527203,0.022564
1732883412.324284,62.575321,3.506929,0.053628
1732883412.424158,62.677916,3.517613,0.019713
1732883412.524093,62.764310,3.523612,0.008976
1732883412.623988,62.835557,3.521960,0.010559
1732883412.723899,62.916616,3.533947,-0.009375
1732883412.823912,63.008903,3.522553,0.013238
1732883412.923863,63.096824,3.535637,-0.005162
1732883413.123863,63.202283,3.541626,-0.013274
1732883413.223840,63.284084,3.538723,-0.002014
1732883413.323922,63.377859,3.532236,0.012482
1732883413.423993,63.473199,3.534408,0.013920
1732883413.524069,63.586088,3.538714,0.002563
1732883413.624051,63.661809,3.537132,0.006004
1732883413.724020,63.759801,3.535935,0.005914
1732883413.824084,63.849334,3.535333,0.010836
1732883413.923952,63.951253,3.543057,0.004689
1732883414.024045,64.041176,3.537842,0.018369
1732883414.123927,64.131806,3.538499,0.014127
1732883414.223986,64.241825,3.546023,0.006701
1732883414.323908,64.332343,3.548507,0.004971
1732883414.424014,64.417365,3.546117,0.008902
1732883414.523968,64.524994,3.556134,-0.003336
1732883414.623955,64.613892,3.557770,0.003386
1732883414.724097,64.694485,3.556837,0.002115
1732883414.824087,64.782761,3.556140,0.002303
1732883414.924007,64.874452,3.562541,0.000377
1732883415.123921,64.978620,3.563319,0.004471
1732883415.223968,65.068603,3.564547,0.001536
1732883415.324033,65.167446,3.568727,0.005282
1732883415.424070,65.267243,3.541294,0.040496
1732883415.524095,65.364793,3.535600,0.040542
1732883415.624191,65.404635,3.581228,-0.017517
1732883415.724025,65.517278,3.524389,0.059234
1732883415.824116,65.586426,3.557079,0.005591
1732883415.924117,65.671855,3.548465,0.006523
1732883416.024036,65.761971,3.560294,0.001024
1732883416.124195,65.845212,3.547582,0.016927
1732883416.224089,65.939978,3.569141,-0.022052
1732883416.323960,66.025887,3.572036,-0.021358
1732883416.423903,66.116323,3.550278,-0.010686
1732883416.523912,66.215456,3.597547,-0.066492
1732883416.623944,66.311096,3.598764,-0.040807
1732883416.723909,66.392768,3.616023,-0.064792
1732883416.823870,66.481738,3.615208,-0.053486
1732883416.923953,66.547105,3.611256,-0.022638
1732883417.023812,66.639502,3.599749,0.003471
1732883417.123787,66.714725,3.622807,-0.028934
1732883417.223738,66.827228,3.614056,-0.016836
1732883417.323804,66.897773,3.618744,-0.015618
1732883417.423856,66.984876,3.623953,-0.012034
1732883417.524018,67.081437,3.615399,0.016617
1732883417.623981,67.177912,3.625523,-0.007855
1732883417.724041,67.251034,3.631388,-0.007503
1732883417.824058,67.333333,3.634814,-0.011903
1732883418.124077,67.461692,3.627818,0.004689
1732883418.224154,67.533266,3.640974,-0.010432
1732883418.424034,67.641312,3.643551,-0.017458
1732883418.623885,67.731810,3.650016,-0.019237
1732883418.823792,67.839060,3.653610,-0.012654
1732883418.923833,67.923412,3.661229,-0.014152
1732883419.023908,68.021758,3.658078,-0.004634
1732883419.224037,68.115782,3.665526,-0.008852
1732883419.324052,68.209423,3.665273,-0.006346
1732883419.424049,68.292447,3.677085,-0.011708
1732883419.524064,68.372376,3.669638,0.002223
1732883419.624145,68.471291,3.662652,0.013360
1732883419.724148,68.564032,3.683328,-0.009501
1732883419.924247,68.646759,3.666196,0.009400
1732883420.024206,68.725040,3.674873,0.009688
1732883420.124198,68.828612,3.673880,0.007646
1732883420.224054,68.910293,3.658619,0.030152
1732883420.324054,69.000771,3.669593,0.006109
1732883420.423849,69.124989,3.693119,-0.038146
1732883420.523843,69.199987,3.671987,0.014249
1732883420.623824,69.321811,3.690209,-0.026402
1732883420.723821,69.411183,3.692587,-0.007432
1732883420.824049,69.512615,3.691084,-0.004329
1732883420.924046,69.606137,3.676945,0.019176
1732883421.024261,69.714261,3.682699,0.006437
1732883421.124210,69.817923,3.683284,0.004824
1732883421.224227,69.907175,3.674891,0.017997
1732883421.324347,70.005688,3.678430,0.005648
1732883421.424381,70.116858,3.697667,-0.054461
1732883421.524345,70.206386,3.676977,-0.007774
1732883421.624196,70.313802,3.685784,-0.020665
1732883421.823952,70.418384,3.685782,-0.016778
1732883421.923945,70.516374,3.685049,-0.019452
1732883422.023954,70.614547,3.681800,-0.022106
1732883422.123967,70.713827,3.682114,-0.020950
1732883422.224046,70.822153,3.688241,-0.034199
1732883422.323904,70.923621,3.685755,-0.021849
1732883422.423866,71.023475,3.687688,-0.018800
1732883422.524020,71.120456,3.686572,-0.021450
1732883422.624078,71.241999,3.684024,-0.012136
1732883422.724053,71.352625,3.685970,-0.014204
1732883422.924157,71.437594,3.666047,0.012201
1732883423.024071,71.535873,3.667256,0.013828
1732883423.124095,71.638830,3.664750,0.007411
1732883423.224024,71.739904,3.674672,-0.015023
1732883423.323941,71.840731,3.680796,-0.032417
1732883423.423991,71.940942,3.687252,-0.036478
1732883423.524058,72.068153,3.647102,0.033939
1732883423.623946,72.169327,3.702978,-0.058793
1732883423.723984,72.274958,3.697666,-0.039099
1732883423.823939,72.379841,3.704461,-0.048358
1732883423.923870,72.486912,3.707074,-0.047342
1732883424.023925,72.581933,3.714839,-0.041494
1732883424.123787,72.705509,3.720406,-0.051403
1732883424.223874,72.803834,3.721512,-0.024675
1732883424.324040,72.909635,3.736533,-0.029833
1732883424.424253,73.009244,3.740116,-0.027604
1732883424.524301,73.115117,3.743957,-0.027753
1732883424.624265,73.208519,3.750369,-0.033792
1732883424.724148,73.302027,3.760600,-0.037784
1732883424.923906,73.412640,3.766406,-0.034234
1732883425.023762,73.524498,3.762691,-0.019711
1732883425.123757,73.620912,3.774310,-0.027173
1732883425.223804,73.733992,3.775197,-0.024497
1732883425.323831,73.838471,3.774008,-0.023088
1732883425.423789,73.931359,3.697689,0.073111
1732883425.623973,74.083559,3.762451,-0.046284
1732883425.824081,74.221984,3.744794,-0.003022
1732883425.924088,74.331127,3.748980,-0.010591
1732883426.024157,74.470103,3.758580,-0.052854
1732883426.124524,74.565020,3.713651,0.038072
1732883426.224446,74.681380,3.739204,-0.027970
1732883426.324301,74.795728,3.746708,-0.036691
1732883426.424086,74.895904,3.702991,0.040817
1732883426.523773,75.001165,3.704742,0.022182
1732883426.623726,75.113855,3.698411,0.029875
1732883426.723628,75.227322,3.695689,0.022290
1732883426.823707,75.331559,3.686672,0.016959
1732883426.923749,75.431399,3.672576,0.036759
1732883427.023704,75.538966,3.669816,0.035796
1732883427.123837,75.641799,3.654499,0.053788
1732883427.223793,75.738632,3.654827,0.035487
1732883427.323799,75.844393,3.665426,0.014158
1732883427.523947,75.950663,3.661855,0.006046
1732883427.623888,76.054314,3.670057,0.008961
1732883427.824159,76.166120,3.668577,0.017757
1732883427.924156,76.266126,3.675079,0.015297
1732883428.423919,76.366077,3.671915,0.026504
1732883428.523943,76.462068,3.676568,0.019138
1732883428.623992,76.573257,3.683662,0.012225
1732883428.724027,76.654119,3.677801,0.036617
1732883428.924020,76.766580,3.685831,0.009750
1732883429.024019,76.859857,3.698770,-0.011721
