time,x,y,theta
1732883352.323804,14.924707,1.189793,0.079956
1732883352.423857,15.008466,1.197144,0.076323
1732883352.523933,15.133989,1.210474,0.078746
1732883352.624022,15.224107,1.245088,0.066911
1732883352.724234,15.321034,1.247323,0.062987
1732883352.824040,15.385499,1.257108,0.064643
1732883352.923880,15.446093,1.244115,0.064469
1732883353.023887,15.522989,1.266501,0.055090
1732883353.123879,15.608708,1.275261,0.056141
1732883353.223728,15.653845,1.243910,0.061768
1732883353.323863,15.743750,1.259968,0.054839
1732883353.423966,15.827096,1.294636,0.048233
1732883353.523927,15.891179,1.276433,0.049178
1732883353.623873,15.915738,1.276785,0.052004
1732883353.723965,15.968770,1.291018,0.039204
1732883353.824211,16.085796,1.272985,0.023463
1732883353.924413,16.161327,1.272474,0.022034
1732883354.024300,16.287632,1.287651,0.020808
1732883354.124166,16.375692,1.294685,0.023069
1732883354.224037,16.470446,1.323433,0.019652
1732883354.324086,16.560970,1.321621,0.020182
1732883354.424062,16.654387,1.305645,0.021899
1732883354.524061,16.725946,1.308764,0.022535
1732883354.623971,16.792965,1.317080,0.024550
1732883354.723990,16.897043,1.304327,0.023393
1732883354.824062,16.993711,1.329685,0.018993
1732883354.923998,17.071667,1.353243,0.018353
1732883355.023986,17.175447,1.335180,0.020234
1732883355.123943,17.258896,1.385081,0.017019
1732883355.223965,17.382969,1.388749,0.018331
1732883355.323927,17.457333,1.400252,0.021956
1732883355.423941,17.537998,1.363735,0.021951
1732883355.524159,17.610533,1.377087,0.019040
1732883355.624060,17.720428,1.387861,0.025426
1732883355.724087,17.828585,1.412579,0.025070
1732883355.824076,17.912169,1.429694,0.022680
1732883355.924107,18.018465,1.431361,0.026531
1732883356.024050,18.081711,1.412626,0.027430
1732883356.124083,18.168644,1.422340,0.023470
1732883356.224098,18.230434,1.425771,0.021124
1732883356.324057,18.294043,1.427565,0.022505
1732883356.424028,18.387087,1.431261,0.021050
1732883356.524110,18.489553,1.441169,0.018110
1732883356.624080,18.535738,1.434114,0.021770
1732883356.724045,18.614599,1.421016,0.021283
1732883356.824080,18.678398,1.415748,0.023204
1732883356.924103,18.741880,1.434243,0.024563
1732883357.024000,18.794296,1.441558,0.028616
1732883357.123970,18.903498,1.450962,0.041786
1732883357.223949,18.964163,1.446367,0.048311
1732883357.324229,19.080610,1.453134,0.053150
1732883357.424034,19.122414,1.479988,0.077496
1732883357.523946,19.120722,1.473830,0.088930
1732883357.624251,19.109829,1.470880,0.086259
1732883357.724533,19.066126,1.464665,0.087797
1732883357.824651,19.060432,1.465354,0.085539
1732883357.924591,19.043367,1.472688,0.085402
1732883358.024525,19.069574,1.470967,0.085349
1732883358.124400,19.065163,1.455653,0.088473
1732883358.224207,19.078302,1.474478,0.086051
1732883358.324092,19.078972,1.455786,0.087838
1732883358.424003,19.058401,1.459554,0.087941
1732883358.523993,19.065121,1.466991,0.086646
1732883358.623951,19.055616,1.454981,0.088305
1732883358.724041,19.046976,1.459400,0.087441
1732883358.824048,19.063566,1.461219,0.088702
1732883358.924132,19.070875,1.468889,0.085975
1732883359.024117,19.078033,1.456054,0.087376
1732883359.124217,19.078157,1.474714,0.085889
1732883359.224178,19.068062,1.473870,0.085933
1732883359.324196,19.076311,1.483377,0.085398
1732883359.424172,19.079641,1.478598,0.085161
1732883359.524112,19.084877,1.470615,0.088279
1732883359.624073,19.108318,1.474274,0.089153
1732883359.724080,19.168089,1.462616,0.090439
1732883359.824122,19.185390,1.491622,0.086162
1732883359.924145,19.238707,1.493447,0.085880
1732883360.024103,19.276272,1.492014,0.086598
1732883360.124212,19.312813,1.488880,0.087299
1732883360.224090,19.350025,1.516009,0.082876
1732883360.324045,19.407951,1.502027,0.087669
1732883360.423941,19.459005,1.501437,0.088506
1732883360.524025,19.529140,1.509162,0.087574
1732883360.624005,19.590862,1.526642,0.082745
1732883360.724059,19.690367,1.519295,0.084911
1732883360.823921,19.760597,1.546869,0.086096
1732883360.923923,19.818741,1.538088,0.083090
1732883361.023960,19.863722,1.552283,0.082647
1732883361.123983,19.888908,1.556033,0.079252
1732883361.224082,20.005079,1.534276,0.075340
1732883361.324121,20.072094,1.551335,0.073675
1732883361.423958,20.140858,1.577014,0.071426
1732883361.523960,20.192148,1.581454,0.069804
1732883361.624003,20.237526,1.574446,0.068424
1732883361.724010,20.305658,1.558862,0.073086
1732883361.824004,20.344133,1.587004,0.068696
1732883361.924032,20.405653,1.589638,0.068602
1732883362.024041,20.466022,1.612736,0.063337
1732883362.124147,20.516783,1.615904,0.067910
1732883362.223985,20.595261,1.635924,0.065025
1732883362.324013,20.680311,1.626887,0.063955
1732883362.423928,20.729389,1.627351,0.070191
1732883362.523926,20.815939,1.646559,0.062430
1732883362.623999,20.884636,1.640008,0.065402
1732883362.723926,20.963041,1.650986,0.063564
1732883362.823998,21.069077,1.663625,0.063938
